one	en	$
word	en	G_N
about	en	PSP
mahesh	ne	G_N
,	univ	G_X
prabhas	ne	G_N
,	univ	G_X
ntr	univ	G_N
,	univ	G_X
pawan	ne	G_N

cinema	en	G_N
chusaawa	te	G_N
?	univ	G_X
chusthnawa	te	G_X
?	univ	G_X

I	en	G_PRP
think	en	G_V
he	en	G_PRP
went	te	G_V
to	en	PSP
remake	en	G_V
of	en	PSP
Atharintiki	te	G_N
Daredhi	te	G_N
movie	en	G_N
.	univ	G_X

raakshastdu	te	G_N
,	univ	G_X
lot	en	G_R
better	en	G_J
than	en	PSP
pandaga	te	G_N
chesko-	te	G_N
suriya	te	G_N
acting	en	G_V
awesome	en	G_J
,	univ	G_X

A	univ	DT
great	en	G_J
attempt	en	G_N
by	en	PSP
#krish	univ	G_N
n	univ	CC
#varuntej	univ	#
_/	unit	E
\\_\"	univ	E

Srimanthudu	te	G_N
benefit	univ	G_V
show	en	G_N

cinema	en	G_N
chusanuuu	te	G_N
..	univ	G_X
Ahh	univ	G_PRT
expression	univ	G_N
,	univ	G_X
Dancuuu	en	G_N
,	univ	G_X
anni	univ	G_N
Allu	ne	G_N
sirish	univ	G_N
ki	te	G_N
anna	te	G_N
laga	te	G_N
unai	te	G_N
le	te	G_N
..	univ	G_X
:p	univ	E
:p	univ	E

\"	univ	G_X
Anoop	ne	G_N
ki	te	G_N
rating	en	G_N
aa	univ	G_X
:P	univ	E

arganta	te	G_N
dragging	en	G_V
ahh	univ	G_PRT
:o	univ	E

Expecting	en	G_V
post	univ	G_N
on	univ	PSP
event	univ	G_N
like	univ	PSP
memu	te	G_PRP
saitam	te	G_V
for	en	PSP
chennai	te	G_N

antis	te	G_N
sockssss	en	G_N

#Baahubali	ne	#
Movie	en	G_N
commences	univ	G_V
with	en	PSP
entry	univ	G_N
of	univ	PSP
valiant	en	G_J
Ramya	ne	G_N
Krishna	ne	G_N
;	univ	G_X

As	univ	PSP
Expected	en	G_V
,	univ	G_X
chinchesindi	te	G_N
teaser	en	G_N
matram	te	G_N
;)	univ	E

The	en	DT
name	univ	G_N
on	univ	PSP
the	en	DT
certificates	univ	G_N
will	univ	G_V
be	univ	G_V
:	univ	G_X
RACHAPUDI	te	G_N
SRI	ne	G_N
RAMA	ne	G_N
SUDHAMSU	te	G_N
.	univ	G_X
\"	univ	G_X

1st	univ	G_J
answer	en	G_N
:	univ	G_X
Prema	te	G_N
ishq	univ	G_N
Kadhal	te	G_N
,	univ	G_X
Winner	univ	G_N
:	univ	G_X
Rahul	ne	G_N
Kiran	ne	G_N
\"	univ	G_X

Cinema	en	G_N
matram	te	G_N
kirack	te	G_N

kottaga	te	G_N
page	univ	G_N
start	en	G_V
chese	te	G_N
vallaki	te	G_V
me	univ	G_PRP
suggestions	en	G_N
?	univ	G_X

Antha	te	G_N
corect	en	G_J
but	univ	CC
rating	en	G_N
inko	te	G_N
.	univ	G_X
5	univ	$
ivochu	te	G_J
mama	univ	G_N

Maximum	univ	G_J
theaters	en	G_N
lo	univ	PSP
one	univ	$
week	en	G_N
minchi	te	G_N
aadadu	te	G_X
...	univ	G_X
its	univ	G_N
true	univ	G_J

bahubali	ne	G_N
3	univ	$
tickets	univ	G_N
avaiable	te	G_V
fr	univ	PSP
saturdy	univ	G_N
in	univ	PSP
asaian	univ	G_N
cinemas	en	G_N
moosapet(s	univ	G_N
.	univ	G_X
r	univ	G_V
.	univ	G_X
nagar	univ	G_N
)	univ	G_X
-hyderabad	te	G_N
..	univ	G_X
each	univ	DT
500	univ	$
...	univ	G_X
intrstd	univ	G_J
ppl	univ	G_N
can	univ	G_V
call	en	G_V
9963302980	univ	$

enduku	te	G_X
